"cluster","count","center_lon","center_lat"
1,315529,-91.772463572161,28.9022772320063
5,23438,-96.6468496305146,27.6123409429132
28,19844,-91.171652974726,29.8597356959282
3,15941,-82.7185938247287,27.7840836666458
2,5518,-82.0314883707865,28.8177758114193
56,3452,-91.9137743395133,29.3436984588644
63,2576,-82.8240782686335,27.975536556677
32,1303,-94.7853831772832,28.676925180353
12,1226,-90.7031162561175,29.5217158482871
71,884,-93.25008,30.2179349886878
29,865,-81.1164378381503,32.1166433063584
72,570,-92.4524575964912,28.5127234210526
27,506,-96.9103592094862,27.5998114624506
21,466,-95.1590308583691,28.8612282403433
4,461,-83.2321580911063,26.448864989154
60,392,-88.2704521938775,28.3464026020408
39,300,-89.0510547,27.5923628666667
35,298,-97.3787997651007,25.9584489932886
55,298,-81.3908397651007,30.3452052013423
15,269,-94.0782842007435,28.2655517843866
54,253,-91.0305086956522,28.631667826087
30,252,-95.2074821825397,25.4248497222222
38,220,-87.5186484090909,27.5844635454545
34,200,-85.93317405,29.170128
36,134,-96.9068974626866,26.0273592537313
66,131,-93.5452242748092,27.6229059541985
8,129,-96.1343336434109,28.8177758114193
46,114,-85.7510857894737,28.8177758114193
40,97,-91.0075678350515,27.5931096907217
57,95,-95.4167855789474,27.1403555789474
9,94,-94.7875369148936,27.1740242553192
65,74,-93.8076248648649,27.4945128378378
17,72,-93.6446870833333,27.9799104166667
23,71,-89.0211414084507,26.2389750704225
16,70,-93.5102018571429,28.0311537142857
61,41,-89.8188558536585,27.8390334146341
70,40,-96.99819675,28.8177758114193
10,38,-85.2216689473684,28.8177758114193
53,38,-91.0464752631579,28.7603436842105
6,35,-84.4467091428571,28.8177758114193
13,34,-88.0700644117647,29.1515182352941
42,34,-90.4537576470588,27.5850702941176
19,33,-93.5436987878788,26.7501063636364
25,32,-92.54429125,27.2899259375
62,32,-91.8196059375,27.8060628125
7,29,-96.5400175862069,28.8177758114193
58,26,-85.8569461538462,27.6372661538462
31,23,-95.8425286956522,26.01601
68,20,-93.2670325,27.350701
14,18,-87.8029183333333,29.222395
26,18,-92.5521694444444,26.8260233333333
37,18,-96.3441033333333,26.1041588888889
41,17,-90.6559858823529,27.5897717647059
11,16,-85.033871875,27.8140825
45,16,-89.960525,27.59075
49,16,-90.5401525,28.475655
64,16,-93.513944375,27.473088125
43,15,-90.247084,27.583074
20,14,-93.6440185714286,26.8771442857143
24,13,-88.7634053846154,26.1464023076923
47,13,-91.2920692307692,28.7724515384615
48,13,-90.68358,28.5394115384615
52,13,-91.07617,28.2291015384615
69,13,-96.9294946153846,25.6560653846154
18,12,-93.6170333333333,28.2329958333333
50,12,-90.3953658333333,28.4221191666667
22,11,-91.1431918181818,27.1061809090909
51,11,-90.1006354545455,28.3056463636364
44,10,-90.104453,27.589485
59,10,-86.721544,27.588379
33,7,-94.5624471428571,26.75366
67,7,-93.2723557142857,27.4972985714286
