"VesselName","nb_points","duree_tracking","distance_totale","vitesse_moyenne","type_bateau"
"OSPREY",5379,167.983333333333,4.03087759188307,2.46765197992192,60
"BROOKE ELIZABETH",5052,NA,7.01007602233109,1.32765893855992,60
"MISSISSIPPI DELTA",4985,167.983611111111,5.30781111867589,1.45659177416385,60
"CITY OF NEW ORLEANS",4940,167.997222222222,1.09354825131861,0.597834008097166,60
"BAR PILOT",4922,167.996944444444,1.05613508725519,0.135376458458715,60
"MISS CAITLIN",4915,167.994166666667,0.985881011090792,0.386655897497824,60
"COL FRANK X ARMIGER",4914,167.997777777778,0.0747521005730897,0.000447700447700448,60
"NEW ROADS",4905,167.986388888889,0.102822417288317,0.000693170234454638,60
"MASON G",4898,167.996944444444,0.186556117395637,2.79545613018735,60
"JOSEPH F WEBER",4893,NA,1.44568623719028,0.818884120171674,60
"HERON",4892,167.986111111111,3.15575773064305,1.92146361406378,60
"SUN OF MAN",4891,167.996944444444,9.02956921225516,1.7483526252976,60
"HOLT T",4890,167.985,3.6245588938741,1.44705521472393,60
"GO GLORY",4885,167.993333333333,3.07956788088932,1.80687819856704,70
"STARSHIP II",4875,167.997222222222,0.505039143670959,0.209476923076923,60
"CAMERON NO II",4869,NA,1.46788807580404,0.749353049907579,60
"CANDY LAND",4855,167.988333333333,9.49059433162036,1.63318064426617,60
"BELLE CHASSE II",4853,NA,0.129558510246837,0.00434782608695652,60
"WILLIAM H JOHNSON",4845,NA,6.86440247811348,0.928909172139113,60
"TITUS",4839,167.991944444444,0.129409170187494,6.19962802231866e-05,60
"GRAND PRINCESS",4837,167.994444444444,0.0577296897985992,0.00171593963200331,69
"FOUR C'S",4814,NA,6.29349292283493,2.80353523654193,60
"MR LLOYD",4814,167.986666666667,6.15370042995731,1.53550267028465,60
"MISS EFFIE",4789,167.984722222222,2.03227796089568,0.377449355238938,60
"ADRI LAB",4734,167.995277777778,10.3770509521785,1.91068512009761,60
"SUN FIGHTER",4646,167.984166666667,3.60441537520255,0.905990623039793,60
"MS JANE",4570,167.984444444444,3.68525320235104,1.84271334792123,60
"HERO",4564,167.963333333333,9.69689472230228,5.00223289050403,60
"DUKE",4523,167.976944444444,3.84163282540333,1.91686933451249,70
"MISS COLETTE",4522,NA,4.86267269269354,2.2874613003096,60
"SCOT BREMEN",4394,NA,0.138638956347432,0.0180700955848885,80
"BETTY K VI",4130,167.994722222222,1.99910333579318,1.06542372881356,70
"RENEGADE",4036,NA,0.0634051243437721,4.95540138751239e-05,60
"HOS ROSEHILL",3969,167.988611111111,0.110066659324828,0.0228269085411943,70
"MISS ALLIE",3925,167.523333333333,4.75386843760449,0.925044585987261,60
"VANQUISH",3852,165.083055555556,4.62963541619007,2.81547248182762,70
"MSC KALAMATA VII",3582,167.984166666667,17.0531393929788,5.45516471245114,71
"CLIPPER I-STAR",3575,NA,3.33396013802834,1.62528671328671,70
"MONTE VERDE",3549,157.521388888889,9.60682489362498,3.8356720202874,70
"RAYMOND M",3465,167.974444444444,5.71869725835708,1.96793011211454,60
"HARVEY AMERICA",3376,166.918888888889,1.68616014214097,0.189543838862559,70
"NEW BUCCANEER",3371,167.988055555556,4.75313407171302,0.376881829173804,60
"FOURCHON RUNNER",3254,167.635555555556,0.107527309396662,0.0115242778119238,60
"BUNNY BORDELON",3116,167.994444444444,11.9001027313355,4.08533376123235,70
"ALGOMA INTEGRITY",3082,167.9925,18.1671917416034,8.60399091499027,70
"OVERSEAS LOS ANGELES",3049,167.987222222222,17.6857360330292,6.08281403738931,80
"EAGLE SAN PEDRO",3017,167.986111111111,3.18567460345172,1.87295326483262,80
"OCEAN PEARL",2986,167.989166666667,8.33587471441893,0.950488940647933,70
"BAY STATE",2981,167.956666666667,14.0520690820067,6.74568936598457,80
"SOLAR SUZANNE",2977,167.998611111111,15.4141754238341,8.8356063150823,80
"PROVINCETOWN III",2896,NA,20.8171768775787,2.18860571877609,60
"MAERSK TENNESSEE",2856,167.9725,31.6625914254589,8.9160176766883,71
"RAY STOKER; JR",2811,NA,2.47021874418482,2.51216648879402,60
"EAGLE KANGAR",2773,167.966944444444,6.16354253039622,5.42336819329246,80
"OVERSEAS MARTINEZ",2762,167.972777777778,16.5089692305424,8.62353367125272,80
"EAGLE KINABALU",2700,167.995277777778,6.1146603959189,5.0852962962963,80
"TOMORROW",2664,167.990555555556,14.8002154660207,6.9158033033033,70
"ODYSSEA PHOENIX",2645,167.976944444444,1.97332043368213,1.21538752362949,70
"ALYARMOUK",2623,167.973055555556,3.87305852158675,3.89683568433092,89
"ANNE",2576,NA,32.5602767112905,3.40361024844721,80
"STARSHIP IV",2576,167.957777777778,0.350355492870963,0.368827639751553,60
"ROJEN",2556,167.874444444444,8.72286093716948,5.13661971830986,70
"REAL HAPPINESS",2550,167.954166666667,9.4788244138067,4.56262745098039,70
"CHEMICAL ENTERPRISE",2511,167.939722222222,9.08712676793683,4.71816009557945,82
"AMERICAN PHOENIX",2489,167.957777777778,10.2517675706859,5.2926476496585,80
"STRATEGIC FORTITUDE",2473,167.962222222222,7.17675543722395,5.54609785685402,70
"ATLANTIC",2456,167.979722222222,19.23735183201,8.25708469055375,80
"NISSOS KYTHNOS",2446,NA,5.86843670098654,2.11357318070319,80
"MSC SEASIDE",2413,NA,21.3476583187388,8.58107088445325,60
"MSC CORNELIA",2407,162.753333333333,9.6064426169124,4.46580428427934,74
"AZALEA GALAXY",2356,167.909166666667,4.95056974483777,4.05967741935484,80
"STOLT PRIDE",2346,167.9875,9.31045505561045,5.01193520886615,80
"MISS LINDA LEE",2317,166.795833333333,9.58077901405196,1.76266947407165,60
"FRONT NAUSTA",2314,165.835,8.90582570399561,5.83820224719101,89
"APL MINNESOTA",2286,148.045555555556,19.0847264880456,6.55271216097988,70
"GWEN",2283,166.648611111111,5.6487453640129,4.18063950941743,80
"BULK MANARA",2264,167.927222222222,18.1161776556034,5.72402826855124,70
"OVERSEAS ANACORTES",2234,150.366388888889,13.9955464545849,7.59023968492846,80
"PACIFIC RUBY",2223,167.9925,1.81064691114414,2.27845254161044,80
"OVERSEAS TEXAS CITY",2220,155.980277777778,22.399028183587,9.36188190922382,80
"STOLT ISLAND",2191,167.934444444444,8.06116081444227,5.56563213144683,80
"LA LUNA",2175,167.827222222222,12.2625889903775,6.20735632183908,70
"GRAMPUS ACE",2163,167.971666666667,2.46034473456185,2.22630605640314,70
"INDUSTRIAL MERCHANT",2163,167.963611111111,14.23853764239,7.22464170134073,70
"STOLT KIRI",2160,167.973611111111,8.95138483712548,4.99550925925926,80
"CYAN NOVA",2156,167.141111111111,8.57298628245869,2.54958256029685,80
"GARDEN STATE",2148,167.946111111111,13.8914881119684,9.31303538175047,80
"PINE ARROW",2147,167.982777777778,8.31327896381898,5.29194224499301,70
"ALGOMA VALUE",2135,153.541111111111,21.9831244834403,9.81690653682913,70
"STOLT HALCON",2102,167.969166666667,1.60696654468718,1.71841103710752,80
"HUNTER",2072,167.955833333333,16.522102496456,5.11264478764479,80
"HOS RUNNING BUCK",2069,167.956666666667,4.37912885614217,2.71150314161431,79
"CLEAROCEAN HICKORY",2056,167.976666666667,20.5562827926311,6.62553501945525,80
"GENCO MADELEINE",2050,167.978055555556,1.12526264167684,1.1909756097561,70
"GOLDEN GLORY",2025,145.567222222222,9.20691478368291,6.01481481481482,70
"EVER FOCUS",2020,71.9963888888889,6.24107861214822,8.45514851485149,70
"DARYA NOOR",2017,167.995,0.599904559594401,0.7533961328706,70
"AVANCE POLARIS",1998,167.948333333333,1.03806792856406,1.01771771771772,80
"CAJUN IV",1942,159.830277777778,12.9189135038327,4.53942074369912,60
"AFRICAN OSPREY",1924,167.948888888889,5.04563414566289,3.07115384615385,70
"STOLT INSPIRATION",1912,167.951111111111,0.687004028674938,0.977353556485356,80
"YANGTZE FALCON",1871,167.958333333333,0.242914234164696,0.25542490646713,79
"ELKA DELOS",1868,167.969722222222,0.51767344950262,0.849089935760171,89
"UBC TILBURY",1859,167.911666666667,0.0765116079257817,0.0184507799892415,70
"ORION",1849,167.95,0.0828623243580635,0,70
"UACC MIRDIF",1847,158.324722222222,4.96301069887924,3.02804547915539,80
"CAPT. ELLIOT MCCALL",1840,167.993611111111,14.4941372378792,5.15817734255498,61
"OWL 2",1836,167.899722222222,0.0759050975401348,0.00610021786492375,80
"GAS INSPIRATION",1828,167.963888888889,0.0547568409152434,0,80
"EARTH HARMONY",1816,167.986388888889,0.645704475215316,0.371420704845815,70
"PROGRESS",1815,167.913333333333,0.0750129084318875,0.0193388429752066,70
"MARITIME GRACIOUS",1814,167.95,0.0781841155864788,0.00611907386990077,80
